accident_date,aircraft_type,registration,operator,fatalities,location,damage_type
1995-06-28,Cessna 208 Caravan I,N9825F,Transnorthern Aviation,0,"Talkeetna, AK",Substantial
1995-07-01,Ilyushin Il-62,,Domodedovo Airlines,0,Noril'sk Airport (NSK),None (No Damage)
1995-07-01,de Havilland Canada C-7A Caribou (DHC-4),P2-VTC,Vanimo Trading,2,8 km from Kiunga,Write-Off
1995-07-01,Fokker F-27 Friendship 500RF,VT-EWE,East West Airlines,0,Baroda (Vadodara) Airport (BDQ),Write-Off
1995-07-08,Pilatus Britten-Norman BN-2B-27Â Islander,TR-LBJ,Air Inter Gabon,0,Medouneu Airport (MDV),Write-Off
1995-07-12,de Havilland Canada DHC-6 Twin Otter 300,P2-MBI,Milne Bay Air,15,2 km E of Alotau-Gurney Airport (GUR),Write-Off
1995-07-12,Mitsubishi Mu-300 Diamond IA,TC-YIB,Yibitas Air,0,Istanbul-AtatÃ¼rk Airport (IST),Write-Off
1995-07-13,de Havilland Canada DHC-3 Otter,N472PM,Taquan Air Service,0,"Ketchikan, AK",Substantial
1995-07-16,Antonov An-2R,RA-81506,Shakhtinsky ARZ - ShARZ,0,near Zelyony Log,Write-Off
1995-07-17,de Havilland Canada DHC-6 Twin Otter 300,PK-NUT,Merpati Nusantara Airlines,1,Bintuni Airport (NTI),Write-Off
1995-07-17,Embraer EMB-120RT Brasilia,N268UE,"United Express, opb West Air Commuter Airlines",0,"Los Angeles International Airport, CA (LAX)",Substantial
1995-07-18,Douglas C-47A-80-DL (DC-3),5R-MMG,ArmÃ©e de l'Air Malgache,36,Antananarivo-Ivato Airport (TNR),Write-Off
1995-07-19,Douglas C-47A-75-DL (DC-3C),N54NA,N.F. Stadler,1,"near Independence, NY",Write-Off
1995-07-23,de Havilland Canada DHC-6 Twin Otter 200,N926MA,Coronado Skydiving Center,,"Belen, NM",None (No Damage)
1995-07-24,Gulfstream G-IV,N480UP,Union Pacific Aviation,0,"Denver-Centennial Airport, CO (APA)",Substantial
1995-07-25,Britten-Norman BN-2A-20Â Islander,P2-TNT,Transniugini Airways,2,near Karimui Airport (KMR),Write-Off
1995-07-26,Cessna S550 Citation S/II,N72WC,Pioneer Private Aviation,0,"Minneapolis-Flying Cloud Airport, MN (FCM)",Substantial
1995-07-26,McDonnell Douglas DC-9-31,5N-BBA,ADC Airlines,0,Monrovia-Sprigg Payne Airport (MLW),Write-Off
1995-07-28,Boeing 737-3A4,N675AA,Southwest Airlines,0,"Dallas-Love Field, TX",Minor Damage
1995-07-29,PADC/Britten-Norman BN-2A-21 Islander,P2-MBM,Provincial Air Transport,0,Fane Airport (FNE),Write-Off
1995-07-30,Cessna 208B Grand Caravan,YN-CED,La CosteÃ±a,1,Villavicencio-La Vanguardia Airport (VVC),Unknown
1995-07-31,de Havilland Canada DHC-4A Caribou,M21-13,Tentera Udara Diraja Malaysia (TUDM),3,ca 2 km off Labuan Airport (LBU),Write-Off
1995-08-02,Antonov An-2R,RA-05708,Aero Air,3,Johannesburg/Germiston-Rand Airport (QRA),Write-Off
1995-08-03,Dornier 328-110,N335PH,Horizon Air,0,"Portland International Airport, OR (PDX)",Substantial
1995-08-03,Airbus A300B4-605R,,China Eastern Airlines,0,Hangzhou Airport (HGH),None (No Damage)
1995-08-04,Fokker F-28 Fellowship 4000,PK-GKN,Merpati Nusantara Airlines,0,Ujung Pandang-Hasanudin Airport (UPG),Substantial
1995-08-04,Boeing 757-251,N509US,Northwest Airlines,0,"Detroit, MI",None (No Damage)
1995-08-05,Boeing 727-264,N764AT,American Trans Air,0,"Orlando International Airport, FL (MCO)",Substantial
1995-08-09,CASA CN-235-100,LV-VHM,Inter Austral,1,"Sierras Grandes, CD",Minor Damage
1995-08-09,Boeing 737-2H6,N125GU,Aviateca,65,24 km NE of San Salvador,Write-Off
1995-08-09,Hawker Siddeley HS-748-216 Srs. 2A,PK-KHL,Bouraq Indonesia Airlines,10,Kumawa Mountains,Write-Off
1995-08-10,Antonov An-2R,RA-40371,UraiAvia,0,Mezhdurechensk,Write-Off
1995-08-11,Shorts SC.7 Skyvan 3-100,N504FS,FS Air Service,0,"Nikolai Airport, AK (NIB)",Substantial
1995-08-14,Embraer EMB-110P1 Bandeirante,HK-2594,AIRES Colombia,8,22 km N of Toez,Write-Off
1995-08-15,Boeing 727-23,,Phoenix Airways,0,Cape Town International Airport (CPT),None (No Damage)
1995-08-17,Boeing 707-321C,YR-ABN,Air Afrique,0,N'Djamena Airport (NDJ),Write-Off
1995-08-17,Saab 340A,N742BA,Business Express Airlines,0,"Philadelphia International Airport, PA (PHL)",Substantial
1995-08-17,Britten-Norman BN-2A Islander,4X-CCO,Barak Aviation Services,0,Haifa Airport (HFA),Write-Off
1995-08-19,Douglas C-47B-1-DL (DC-3C),C-GZOF,Air North,1,"near Vancouver International Airport, BC (YVR)",Write-Off
1995-08-20,GAF Nomad N.22B,N4826M,Haiti Express Airways,0,Jeremie Airport (JEE),Write-Off
1995-08-21,Embraer EMB-120ER Brasilia,N256AS,"Delta Connection, opb Atlantic Southeast Airlines - ASA",8.0,"13 km W of Carrollton, GA",Write-Off
1995-08-23,Lockheed L-1011 TriStar 1,N781DL,Delta Air Lines,0.0,"720km W of Los Angeles, CA, USA",Write-Off
1995-08-23,Douglas C-54G,N2742G,California Dept. of Forestry,0.0,"Aubeery, CA",Substantial
1995-08-25,Cessna 208 Caravan I,8Q-MAT,Maldivian Air Taxi,0.0,"Rasdhoo, Ari Atoll",Substantial
1995-08-28,Learjet 24,LV-WMR,Medicorp,0.0,"Posadas Airport, MI (PSS)",Write-Off
1995-08-31,Britten-Norman BN-2 Islander,,Unknown,0.0,unknown,None (No Damage)
1995-08-31,Antonov An-26,TZ-347,Force AÃ©rienne de la RÃ©publique du Mali,6.0,4 km from Thessaloniki International Airport (SKG),Write-Off
1995-09-01,Shorts SC.7 Skyvan 3-200,N30GA,North Star Air Cargo,1.0,"10 km S of Farewell, AK",Write-Off
1995-09-01,IRMA/Britten-Norman BN-2A-8 Islander,VH-FCO,Unknown,0.0,"Murray Island Airport, QLD (MYI)",Substantial
1995-09-02,British Aerospace Nimrod MR.2P,XV239,Royal Air Force - RAF,7.0,"0,8 km off Toronto, ON",Write-Off
1995-09-03,Airbus A300B2-1C,F-BUAI,Air Inter,0.0,GenÃ¨ve-Cointrin Airport (GVA),None (No Damage)
1995-09-05,de Havilland Canada DHC-6 Twin Otter 320,VH-KZQ,Aeropelican Air Services,0.0,"8km SE of Sydney, NSW",Substantial
1995-09-05,Dassault Falcon 20F,5N-EPN,Aerocontractors Company of Nigeria,0.0,Lagos-Murtala Muhammed International Airport (LOS),Substantial
1995-09-06,Boeing 737-4Q8,N405KW,Carnival Air Lines,0.0,"Miami International Airport, FL (MIA)",Substantial
1995-09-06,Britten-Norman BN-2A Islander,VP-LMG,unknown,0.0,Montserrat ?,Write-Off
1995-09-09,CASA C-212 Aviocar 200,FAC-1152,SATENA,22.0,8 km from La Macarena Airport (LMC),Write-Off
1995-09-11,Antonov An-26B,YA-BAO,Ariana Afghan Airlines,3.0,near Jalalabad Airport (JAA),Write-Off
1995-09-13,Antonov An-32B,CR861,Sri Lanka Air Force,75.0,off Ja-Ela,Write-Off
1995-09-15,Tupolev Tu-134A,RA-65027,Kaliningradavia,0.0,Saint Petersburg-Pulkovo Airport (LED),Substantial
1995-09-15,McDonnell Douglas MD-11,EI-CDJ,Garuda Indonesia Airways,0.0,near waypoint GURKA,Minor Damage
1995-09-15,Antonov An-2T,SP-EGC,Aeroklub Pomorski,,Wilcze Gardlo,Substantial
1995-09-15,Fokker 50,9M-MGH,Malaysia Airlines,34.0,Tawau Airport (TWU),Write-Off
