acc. date,type,reg.,operator,fat.,location,Unnamed: 6,dmg,Unnamed: 8,Unnamed: 9
26 Jul 1995,Cessna S550 Citation S/II,N72WC,Pioneer Private Aviation,0,"Minneapolis-Flying Cloud Airport, MN (FCM)",,sub,,
26 Jul 1995,McDonnell Douglas DC-9-31,5N-BBA,ADC Airlines,0,Monrovia-Sprigg Payne Airport (MLW),,w/o,,
28 Jul 1995,Boeing 737-3A4,N675AA,Southwest Airlines,0,"Dallas-Love Field, TX",,min,,
29 Jul 1995,PADC/Britten-Norman BN-2A-21 Islander,P2-MBM,Provincial Air Transport,0,Fane Airport (FNE),,w/o,,
30 Jul 1995,Cessna 208B Grand Caravan,YN-CED,La Coste̱a,1,Villavicencio-La Vanguardia Airport (VVC),,unk,,
31 Jul 1995,de Havilland Canada DHC-4A Caribou,M21-13,Tentera Udara Diraja Malaysia (TUDM),3,ca 2 km off Labuan Airport (LBU),,w/o,,
2 Aug 1995,Antonov An-2R,RA-05708,Aero Air,3,Johannesburg/Germiston-Rand Airport (QRA),,w/o,,
3 Aug 1995,Dornier 328-110,N335PH,Horizon Air,0,"Portland International Airport, OR (PDX)",,sub,,
3 Aug 1995,Airbus A300B4-605R,,China Eastern Airlines,0,Hangzhou Airport (HGH),,non,,
4 Aug 1995,Fokker F-28 Fellowship 4000,PK-GKN,Merpati Nusantara Airlines,0,Ujung Pandang-Hasanudin Airport (UPG),,sub,,
4 Aug 1995,Boeing 757-251,N509US,Northwest Airlines,0,"Detroit, MI",,non,,
5 Aug 1995,Boeing 727-264,N764AT,American Trans Air,0,"Orlando International Airport, FL (MCO)",,sub,,
9 Aug 1995,CASA CN-235-100,LV-VHM,Inter Austral,1,"Sierras Grandes, CD",,min,,
9 Aug 1995,Boeing 737-2H6,N125GU,Aviateca,65,24 km NE of San Salvador,,w/o,,
9 Aug 1995,Hawker Siddeley HS-748-216 Srs. 2A,PK-KHL,Bouraq Indonesia Airlines,10,Kumawa Mountains,,w/o,,
10 Aug 1995,Antonov An-2R,RA-40371,UraiAvia,0,Mezhdurechensk,,w/o,,
11 Aug 1995,Shorts SC.7 Skyvan 3-100,N504FS,FS Air Service,0,"Nikolai Airport, AK (NIB)",,sub,,
14 Aug 1995,Embraer EMB-110P1 Bandeirante,HK-2594,AIRES Colombia,8,22 km N of Toez,,w/o,,
15 Aug 1995,Boeing 727-23,,Phoenix Airways,0,Cape Town International Airport (CPT),,non,,
17 Aug 1995,Boeing 707-321C,YR-ABN,Air Afrique,0,N'Djamena Airport (NDJ),,w/o,,
17 Aug 1995,Saab 340A,N742BA,Business Express Airlines,0,"Philadelphia International Airport, PA (PHL)",,sub,,
17 Aug 1995,Britten-Norman BN-2A Islander,4X-CCO,Barak Aviation Services,0,Haifa Airport (HFA),,w/o,,
19 Aug 1995,Douglas C-47B-1-DL (DC-3C),C-GZOF,Air North,1,"near Vancouver International Airport, BC (YVR)",,w/o,,
20 Aug 1995,GAF Nomad N.22B,N4826M,Haiti Express Airways,0,Jeremie Airport (JEE),,w/o,,
21 Aug 1995,Embraer EMB-120ER Brasilia,N256AS,"Delta Connection, opb Atlantic Southeast Airlines - ASA",8.0,"13 km W of Carrollton, GA",,w/o,,
23 Aug 1995,Lockheed L-1011 TriStar 1,N781DL,Delta Air Lines,0.0,"720km W of Los Angeles, CA, USA",,w/o,,
23 Aug 1995,Douglas C-54G,N2742G,California Dept. of Forestry,0.0,"Aubeery, CA",,sub,,
25 Aug 1995,Cessna 208 Caravan I,8Q-MAT,Maldivian Air Taxi,0.0,"Rasdhoo, Ari Atoll",,sub,,
28 Aug 1995,Learjet 24,LV-WMR,Medicorp,0.0,"Posadas Airport, MI (PSS)",,w/o,,
31 Aug 1995,Britten-Norman BN-2 Islander,,Unknown,0.0,unknown,,non,,
31 Aug 1995,Antonov An-26,TZ-347,Force A̩rienne de la R̩publique du Mali,6.0,4 km from Thessaloniki International Airport (SKG),,w/o,,
1 Sep 1995,Shorts SC.7 Skyvan 3-200,N30GA,North Star Air Cargo,1.0,"10 km S of Farewell, AK",,w/o,,
1 Sep 1995,IRMA/Britten-Norman BN-2A-8 Islander,VH-FCO,Unknown,0.0,"Murray Island Airport, QLD (MYI)",,sub,,
2 Sep 1995,British Aerospace Nimrod MR.2P,XV239,Royal Air Force - RAF,7.0,"0,8 km off Toronto, ON",,w/o,,
3 Sep 1995,Airbus A300B2-1C,F-BUAI,Air Inter,0.0,Gen̬ve-Cointrin Airport (GVA),,non,,
5 Sep 1995,de Havilland Canada DHC-6 Twin Otter 320,VH-KZQ,Aeropelican Air Services,0.0,"8km SE of Sydney, NSW",,sub,,
